Name	Activity	IC50	pIC50	logS	apol	ast_fraglike	ast_fraglike_ext	ast_violation	ast_violation_ext	a_acc	a_acid	a_aro	a_base	a_count	a_don	a_donacc	a_heavy	a_hyd	a_IC	a_ICM	a_nB	a_nBr	a_nC	a_nCl	a_nF	a_nH	a_nI	a_nN	a_nO	a_nP	a_nS	balabanJ	BCUT_PEOE_0	BCUT_PEOE_1	BCUT_PEOE_2	BCUT_PEOE_3	BCUT_SLOGP_0	BCUT_SLOGP_1	BCUT_SLOGP_2	BCUT_SLOGP_3	BCUT_SMR_0	BCUT_SMR_1	BCUT_SMR_2	BCUT_SMR_3	bpol	b_1rotN	b_1rotR	b_ar	b_count	b_double	b_heavy	b_max1len	b_rotN	b_rotR	b_single	b_triple	chi0	chi0v	chi0v_C	chi0_C	chi1	chi1v	chi1v_C	chi1_C	chiral	chiral_u	density	diameter	FCharge	GCUT_PEOE_0	GCUT_PEOE_1	GCUT_PEOE_2	GCUT_PEOE_3	GCUT_SLOGP_0	GCUT_SLOGP_1	GCUT_SLOGP_2	GCUT_SLOGP_3	GCUT_SMR_0	GCUT_SMR_1	GCUT_SMR_2	GCUT_SMR_3	Kier1	Kier2	Kier3	KierA1	KierA2	KierA3	KierFlex	lip_acc	lip_don	lip_druglike	lip_violation	logP(o/w)	mr	mutagenic	nmol	opr_brigid	opr_leadlike	opr_nring	opr_nrot	opr_violation	PC+	PC-	PEOE_PC+	PEOE_PC-	PEOE_RPC+	PEOE_RPC-	PEOE_VSA+0	PEOE_VSA+1	PEOE_VSA+2	PEOE_VSA+3	PEOE_VSA+4	PEOE_VSA+5	PEOE_VSA+6	PEOE_VSA-0	PEOE_VSA-1	PEOE_VSA-2	PEOE_VSA-3	PEOE_VSA-4	PEOE_VSA-5	PEOE_VSA-6	PEOE_VSA_FHYD	PEOE_VSA_FNEG	PEOE_VSA_FPNEG	PEOE_VSA_FPOL	PEOE_VSA_FPOS	PEOE_VSA_FPPOS	PEOE_VSA_HYD	PEOE_VSA_NEG	PEOE_VSA_PNEG	PEOE_VSA_POL	PEOE_VSA_POS	PEOE_VSA_PPOS	petitjean	petitjeanSC	Q_PC+	Q_PC-	Q_RPC+	Q_RPC-	Q_VSA_FHYD	Q_VSA_FNEG	Q_VSA_FPNEG	Q_VSA_FPOL	Q_VSA_FPOS	Q_VSA_FPPOS	Q_VSA_HYD	Q_VSA_NEG	Q_VSA_PNEG	Q_VSA_POL	Q_VSA_POS	Q_VSA_PPOS	radius	reactive	rings	RPC+	RPC-	rsynth	SlogP	SlogP_VSA0	SlogP_VSA1	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	SMR	SMR_VSA0	SMR_VSA1	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	TPSA	VAdjEq	VAdjMa	VDistEq	VDistMa	vdw_area	vdw_vol	vsa_acc	vsa_acid	vsa_base	vsa_don	vsa_hyd	vsa_other	vsa_pol	Weight	weinerPath	weinerPol	zagreb
NIFEDIPINE	0	616.59003	3.2100036	-3.9934599	48.934273	0	0	1	2	2	0	6	0	43	1	3	25	16	71.274094	1.657537	0	0	17	0	0	18	0	2	6	0	0	2.4445004	-2.5021219	-0.31706339	0.38913614	2.5441372	-2.5140114	-0.20516302	0.49779108	2.5906165	-2.2229896	-0.1120933	0.59399074	2.8123896	27.341726	4	0.15384616	6	44	5	26	2	6	0.23076923	33	0	18.723249	14.283455	10.886751	12.02458	11.827805	7.4151239	4.6933756	6.1378636	0	0	0.79479116	8	0	-0.81078047	-0.418322	-0.045823701	2.7075098	-1.0865326	-0.28280577	0.028300283	2.7560222	-0.49158487	-0.13898845	0.16173536	2.9620335	21.301775	9.2739229	4.4659748	15.576677	6.6859307	3.1855261	4.1657834	8	1	1	0	2.572	8.9350538	1	1	12	1	2	4	0	4.7080002	-4.7080002	2.156004	-2.156004	0.1352721	0.1460765	112.13264	46.681892	8.6190128	0	0	36.11655	0	37.495354	36.764713	0	0	0	61.201782	5.0075121	0.70255798	0.40831807	0.19245799	0.29744202	0.59168196	0.10498403	241.69362	140.46936	66.20929	102.32584	203.55009	36.11655	0.5	1	4.7080002	-4.7080002	0.19265081	0.12744266	0.53994274	0.39315692	0.19245799	0.46005726	0.60684305	0.26759928	185.75081	135.25363	66.20929	158.26865	208.76582	92.059357	4	1	2	0.19265081	0.12744266	1	2.1756001	18.01075	22.576544	69.724205	50.935009	3.185575	82.652382	4.4107962	70.572739	0	69.408775	8.8405104	76.809822	0	68.945755	19.481016	2.7567475	70.572739	15.490929	137.41977	110.45	0.41335541	5.7004399	2.865324	9.0749369	344.01947	435.76099	27.133842	0	0	5.6825762	226.32858	68.35556	32.816418	346.33899	1280	45	126
vitamine_K	1	5.75	5.2403321	-12.07005	86.836479	0	0	2	3	2	0	6	0	79	0	2	33	29	88.334747	1.1181613	0	0	31	0	0	46	0	0	2	0	0	1.57802	-2.7862532	-0.41636744	0.47354364	2.7157927	-2.6422524	-0.30690634	0.57802188	2.8619521	-2.5308263	-0.20543972	0.67342943	2.9727426	52.203522	14	0.41176471	6	80	4	34	16	14	0.41176471	70	0	24.380104	22.006367	21.189871	22.380104	15.701285	13.240272	12.832023	14.546584	2	2	0.62925267	21	0	-0.8071034	-0.34442997	-0.02328388	2.9180472	-0.78881389	-0.2223094	0.07500726	3.048301	-0.53877348	-0.17722735	0.15571614	3.1515059	29.231834	15.186172	9.876543	24.374491	12.587152	8.1506386	9.2971334	2	0	1	1	9.0550003	14.10784	0	1	12	0	2	14	3	2.55	-2.552	1.86111	-1.86111	0.10238133	0.15419237	183.71498	21.326929	0	16.917038	0	0	0	63.599297	199.38297	0	0	0	27.133842	0	0.94701201	0.56654996	0.052988019	0.052988019	0.43345004	0	484.94122	290.11609	27.133842	27.133842	221.95895	0	0.47619048	0.90909094	2.55	-2.552	0.18392158	0.22335424	0.86873871	0.18558604	0.081232794	0.1312613	0.81441396	0.05002851	444.85941	95.033981	41.597286	67.215637	417.04108	25.618353	11	1	2	0.18392158	0.22335424	0	9.1576004	0	11.375222	0	0	67.327972	9.5567245	0	88.215919	188.68405	199.95609	14.0896	47.724434	0	13.232388	15.927875	0	276.89996	11.375222	199.95609	34.139999	0.33706582	6.0874629	4.189765	9.7345037	512.07507	716.25757	27.133842	0	0	0	431.24643	16.917038	27.133842	450.707	4278	48	158
FLUVOXAMINE	1	3.8	5.4202166	-3.06896	46.544445	0	0	1	2	2	0	6	1	44	0	2	22	17	74.749252	1.6988466	0	0	15	0	3	22	0	2	2	0	0	2.4181554	-2.5941546	-0.31053543	0.36433837	2.5662353	-3.2944207	-0.22227143	0.43067795	2.6544223	-2.3513842	-0.076501667	0.46602404	2.8142538	30.171555	9	0.40909091	6	44	1	22	7	10	0.45454547	37	0	16.424438	12.656753	9.552042	10.303119	10.485712	7.133647	4.6749206	5.66325	0	0	0.78587294	12	1	-0.85731584	-0.34086594	0.11408427	2.5246181	-2.2347491	-0.24443121	0.2121395	2.5934076	-0.64152944	-0.10482075	0.054698292	2.7658687	20.045454	10.714286	7.9084287	16.706554	8.8473148	6.4866333	6.7185516	4	3	1	0	3.2307601	8.0809717	0	1	7	1	1	9	0	4.9070001	-3.9070001	2.9084568	-1.9084569	0.14351988	0.20066991	65.541267	64.358109	28.143618	0	0	0	34.902542	52.822289	24.509808	10.885262	35.725906	5.9023595	0	3.6091905	0.86392754	0.40886849	0.029140746	0.13607244	0.59113151	0.10693169	281.98627	133.45482	9.5115499	44.414089	192.94554	34.902542	0.5	1	4.9070001	-3.9070001	0.23721215	0.21832608	0.49198163	0.32889324	0.17194442	0.50801837	0.67110676	0.33607396	160.58296	107.35088	56.122719	165.81738	219.04947	109.69466	6	1	1	0.23721215	0.21832608	0.22727273	2.7962	32.897186	2.7567475	22.218651	60.292095	6.37115	54.78373	7.7595162	70.572739	56.605217	44.880341	7.7532101	22.218651	64.280205	40.656704	6.37115	0	127.17796	63.048843	35.383869	58.459999	0.43949699	5.4594316	3.4383104	8.6168756	326.40036	406.35959	13.389018	0	17.742489	17.742489	259.92282	12.601911	31.131508	319.34698	1216	28	100
ecgonine_methyl_ester	0	6025	2.2200429	-0.32914001	33.108273	1	0	0	1	2	0	0	1	32	1	3	14	9	46.967182	1.4677244	0	0	10	0	0	18	0	1	3	0	0	2.143239	-2.7707045	-0.39575678	0.58935469	2.9425135	-3.491595	-0.47280788	0.47626448	2.7811739	-2.5783579	-0.35350001	0.60000819	3.1302536	23.871725	1	0.06666667	0	33	1	15	3	2	0.13333334	32	0	10.292529	8.6944313	6.9307213	7.0080719	6.6470656	5.2403808	3.088335	3.1329932	4	4	0.7347694	6	1	-0.88350129	-0.34311792	0.082942657	2.8619313	-2.2587626	-0.33634236	0.049864575	2.7263496	-0.63368112	-0.20999472	0.10638963	3.0263176	10.515555	3.8677685	1.648283	9.8207693	3.5919483	1.5241655	2.5196924	4	2	1	0	0.17200001	5.234067	0	1	9	1	2	4	0	3.6389999	-2.6389999	2.3068504	-1.3068504	0.15113524	0.29887462	80.959297	69.678055	3.1459606	0	10.324173	14.708499	8.6190128	0	0	0	0	0	13.566921	10.271297	0.72788835	0.11283123	0.11283123	0.27211165	0.88716877	0.15928042	153.78331	23.838217	23.838217	57.489902	187.435	33.651684	0.5	1	3.6389999	-2.6389999	0.18109371	0.36339521	0.44657868	0.11283123	0.11283123	0.55342132	0.88716877	0.44059008	94.350113	23.838217	23.838217	116.9231	187.435	93.084885	3	0	2	0.18109371	0.36339521	1	-1.4141001	28.509541	7.7454643	49.294689	0	4.4107962	68.281059	0	0	56.605217	0	4.9826498	37.98642	25.385227	4.4107962	14.432587	0	56.605217	7.7454643	68.281059	50.970001	0.61744827	4.9068904	2.4083629	7.3480506	211.27321	272.54538	13.566921	0	0	0	141.04953	17.212255	27.133842	200.258	269	23	74
ALFUZOSIN	0	83.300003	4.0793548	-4.1470799	61.478203	0	0	2	3	6	0	10	0	56	1	7	28	18	88.167374	1.5744175	0	0	20	0	0	28	0	4	4	0	0	1.4146559	-2.6131225	-0.52688241	0.38388222	2.6842108	-2.7376812	-0.48579496	0.42650139	2.6731389	-2.3430877	-0.29349318	0.59934783	2.9143906	42.595795	8	0.26666668	11	58	1	30	7	9	0.30000001	46	0	20.095648	16.949326	13.474691	14.275657	13.528407	9.5398989	5.101624	5.9519253	1	1	0.73386806	16	0	-0.8394084	-0.43317705	-0.04124273	2.6603124	-1.1628301	-0.36523876	0.040020555	2.7135372	-0.52560842	-0.18903802	0.12201361	2.9233761	22.68	10.857822	5.7956104	18.012812	8.5452166	4.5316968	5.4972634	8	1	1	0	1.37874	10.671783	0	1	16	1	3	9	0	4.9619999	-4.9640002	2.479269	-2.479269	0.10077809	0.14808609	161.78598	60.318348	21.821968	8.6190128	28.631105	0	0	92.600113	0	0	0	11.365152	13.566921	7.6481595	0.84936553	0.30805528	0.080176428	0.15063448	0.69194472	0.070458055	345.14542	125.18034	32.580231	61.211338	281.17642	28.631105	0.5	1	4.9619999	-4.9640002	0.14510278	0.16881548	0.51765347	0.14049241	0.080176428	0.48234653	0.85950756	0.40217012	210.35197	57.090042	32.580231	196.00478	349.26672	163.42455	8	0	3	0.14510278	0.16881548	1	2.07692	43.134842	38.829842	41.330753	57.805416	2.7567475	103.66492	0	40.003471	56.605217	45.711964	10.72497	34.862103	55.570835	21.135065	19.712254	6.6161942	91.891586	63.064198	136.99094	85.809998	0.38983503	5.9068904	3.7884555	9.2822638	406.35675	529.34308	32.44334	0	0	5.6825762	317.30792	28.631105	38.125919	388.46799	2380	43	142
1	1	11	4.9586072	-4.6482701	63.159859	0	0	2	4	4	2	17	1	51	0	4	31	18	87.237862	1.7105463	0	0	22	0	0	20	0	6	2	0	1	1.2236942	-2.5700731	-0.6503548	0.64911354	2.7519033	-3.3584681	-0.53827184	0.74830002	2.5505893	-2.3998573	-0.44082114	0.83580691	2.9488108	32.180141	7	0.20588236	17	54	2	34	4	8	0.23529412	34	1	21.794317	17.456589	12.60193	14.518297	15.062881	10.264902	5.7194142	7.5824828	1	1	0.7777698	18	0	-0.97843462	-0.42364255	0.12351374	2.7397325	-2.2392712	-0.3397384	0.15276809	2.684448	-0.63567001	-0.216334	0.22599381	2.9613605	24.134949	11.421457	5.9259257	17.502806	8.1874628	4.2120161	4.6226959	8	2	1	0	2.0550001	12.034334	0	1	22	1	4	7	0	6.5370002	-6.5370002	3.3299081	-3.3299081	0.10437965	0.22182749	71.101959	118.37507	21.723097	3.1459606	0	25.899061	17.238026	51.228157	33.185421	0	17.742489	5.6825762	32.816418	31.384512	0.73686939	0.40053657	0.16270036	0.26313064	0.5994634	0.10043027	316.50217	172.03957	69.883507	113.02059	257.48318	43.137089	0.5	1	6.5370002	-6.5370002	0.10448218	0.14578553	0.51303935	0.39593598	0.21960548	0.48696068	0.60406405	0.2673552	220.36206	170.06351	94.325546	209.16069	259.45923	114.83514	9	1	4	0.10448218	0.14578553	1	1.141384	18.01075	49.112034	73.951294	66.100677	36.17569	1.1219065	0	157.07335	18.868406	36.879158	11.28419	47.724434	87.664574	1.1219065	32.897186	0	212.82091	28.957146	46.107109	108.49	0.36875206	6.0874629	3.89393	9.5834475	429.52274	556.0874	87.625992	37.067089	5.6825762	5.6825762	240.85733	70.989082	93.308571	432.508	3118	47	162
DIPHENHYDRAMINE	0	66.059998	4.1800613	-3.1424799	46.491447	1	0	0	1	1	0	12	1	41	0	1	19	17	52.065269	1.2698846	0	0	17	0	0	22	0	1	1	0	0	1.8720474	-2.6586797	-0.53718626	0.66088337	2.6237714	-3.4760847	-0.49974763	0.68085182	2.5357854	-2.462085	-0.46479684	0.7270211	2.8111603	27.286554	6	0.30000001	12	42	0	20	7	6	0.30000001	30	0	13.501789	11.673315	10.765066	12.217332	9.2708569	6.776648	4.8987174	6.7996597	0	0	0.64343452	9	1	-0.88477033	-0.3675392	0.072625987	2.5858636	-2.2595437	-0.25129089	0.15580922	2.6319132	-0.63046139	-0.20508878	0.15756768	2.8236506	15.39	8.3232002	5.1199999	11.783929	6.2707052	3.8088484	3.8891339	2	1	1	0	3.7820001	8.0991831	0	1	12	1	2	6	0	4.3060002	-3.3069999	2.3231025	-1.3231025	0.14981003	0.27341118	0	151.00177	18.097254	0	0	0	8.6190128	4.4170794	122.54904	0	0	0	0	2.503756	0.96379167	0.42146799	0.0081505682	0.036208354	0.57853198	0.028057786	296.06516	129.46988	2.503756	11.122769	177.71805	8.6190128	0.44444445	0.80000001	4.3060002	-3.3069999	0.13167673	0.28999093	0.70490801	0.42146799	0.0081505682	0.29509199	0.57853198	0.28694141	216.53923	129.46988	2.503756	90.648697	177.71805	88.144936	5	0	2	0.13167673	0.28999093	1	2.0325999	3.1243138	0	10.999887	39.365837	6.37115	65.794373	0	176.43184	6.4686494	0	7.8467698	14.124202	0	0	12.839799	0	176.43184	39.365837	65.794373	13.67	0.5023343	5.321928	3.0560105	8.2140408	307.18793	398.43835	2.503756	0	0	0	281.11746	0	2.503756	256.36899	736	24	90
trimebutine	0	89.120003	4.050025	-4.08813	63.83379	0	0	2	3	4	0	12	1	58	0	4	28	21	82.839043	1.4282594	0	0	22	0	0	30	0	1	5	0	0	2.0425885	-2.7358716	-0.53324074	0.44470018	2.7446616	-3.4478052	-0.44694057	0.44921592	2.6832104	-2.5360272	-0.2703194	0.61345464	2.9396164	42.738209	9	0.31034482	12	59	1	29	6	10	0.34482759	46	0	20.733841	17.496906	14.955666	16.328062	13.427418	9.2636385	5.4795976	7.1523786	1	1	0.70155472	13	1	-0.87588787	-0.38854519	-0.049734104	2.8555231	-2.2517316	-0.2506482	0.048816238	2.8599856	-0.6302104	-0.18744887	0.064319573	3.0665843	24.271107	11.4075	5.5867767	19.644463	9.1562958	4.4577169	6.4239469	6	1	1	0	4.09548	11.036253	0	1	12	1	2	9	0	5.2379999	-4.2420001	3.3097117	-2.3097117	0.10536806	0.14947022	107.22975	151.05518	40.326851	0	0	14.708499	8.6190128	24.509808	80.022194	0	0	0	13.566921	10.015024	0.89576912	0.28466398	0.052398123	0.1042309	0.71533602	0.051832784	403.1438	128.11395	23.581945	46.909458	321.9393	23.327513	0.46153846	0.85714287	5.2379999	-4.2420001	0.12332951	0.22607261	0.59264576	0.24791469	0.052398123	0.40735424	0.75208533	0.35495612	266.72214	111.57481	23.581945	183.3311	338.47842	159.74916	7	0	2	0.12332951	0.22607261	0.5	2.6307001	36.123978	7.7454643	10.999887	20.926258	30.233366	171.94598	0	123.50229	18.868406	49.056297	10.77192	37.98642	32.999664	0	22.101435	0	142.3707	28.671722	205.27199	58.43	0.38060221	5.8579812	3.4685206	9.3383541	450.05325	553.74725	21.07819	0	0	0	382.50174	17.212255	21.07819	388.48398	2069	49	138
sematilide	0	37	4.4317985	-1.89691	49.249031	0	0	1	2	3	0	6	1	45	2	5	21	13	74.281548	1.650701	0	0	14	0	0	24	0	3	3	0	1	2.2149572	-2.7240367	-0.49999565	0.61267835	2.6836751	-3.4943905	-0.52145952	0.54604423	2.4151516	-2.5197701	-0.41386345	0.67833781	2.8793364	36.310966	8	0.38095239	6	45	1	21	7	9	0.42857143	38	0	15.880469	13.587318	9.6378279	10.388906	9.852685	8.9410362	3.9855807	4.8805399	0	0	0.75133425	13	1	-0.88163143	-0.39301211	0.074217357	2.5931408	-2.2596514	-0.38980961	0.13231869	2.5051265	-0.62945628	-0.19449987	0.14632244	2.8105197	19.047619	9.2091837	7.7051129	17.015625	8.1778736	6.8110323	6.6262684	6	3	1	0	0.85900003	8.4716949	0	1	6	1	1	7	0	5.9159999	-4.9159999	2.8553655	-1.8553655	0.12202911	0.18679513	37.906464	112.57294	12.796158	29.342752	0	12.949531	8.6190128	68.704712	24.509808	0	2.5295215	32.016521	13.566921	0.13689101	0.81080097	0.39776152	0.12855385	0.18919906	0.60223848	0.060645208	288.36237	141.46439	45.720337	67.288879	214.18686	21.568544	0.46153846	0.85714287	5.9159999	-4.9159999	0.22532116	0.1950773	0.57843155	0.27349678	0.13566621	0.42156842	0.72650319	0.2859022	205.71991	97.26947	48.249855	149.93134	258.38177	101.68148	7	0	1	0.22532116	0.1950773	1	-0.28740001	21.135065	69.835472	6.6407428	73.758316	27.047791	31.691174	0	70.572739	0	69.408775	8.4153404	75.158218	0	18.01075	3.185575	19.161745	70.572739	79.017097	104.98395	79.709999	0.45371634	5.3923173	3.5465822	8.4384842	355.65125	418.49548	45.583443	0	0	13.757783	243.5415	23.05514	59.341228	314.42999	1138	26	98
SILDENAFIL	1	56	4.251812	-4.8232498	71.431793	0	0	2	4	7	0	6	2	63	0	7	33	17	107.74464	1.7102325	0	0	22	0	0	30	0	6	4	0	1	1.5009696	-2.7839985	-0.32767847	0.39256001	2.7480612	-3.5068192	-0.38741398	0.25961205	2.6021972	-2.5594718	-0.075747445	0.58763045	2.9910576	50.066212	7	0.19444445	6	66	5	36	4	7	0.19444445	55	0	23.750347	20.275604	14.681798	15.68987	15.755588	12.691236	6.0058007	7.1221218	0	0	0.77708441	15	2	-0.88785583	-0.38348237	-0.033168249	2.8600483	-2.2598188	-0.37608916	-0.017474465	2.7875674	-0.62980431	-0.12648922	0.13522713	3.0988295	26.074074	10.947668	5.4043913	21.999702	9.1855068	4.5160918	6.1235886	10	1	1	0	0.86699998	12.521926	0	1	22	0	4	8	2	8.1540003	-6.1539998	4.2354155	-2.2354152	0.082199745	0.15399799	117.88161	138.68123	19.495708	41.128803	0	4.1846013	28.268095	39.703896	27.44899	0	5.6825762	37.6991	13.566921	2.503756	0.81895363	0.26584041	0.11290354	0.18104635	0.73415959	0.068142824	390.0228	126.60524	53.769775	86.222473	349.64005	32.452698	0.46666667	0.875	8.1540003	-6.1539998	0.17745891	0.1558336	0.48338652	0.23060115	0.14461748	0.51661348	0.76939887	0.37199602	230.21054	109.82271	68.87339	246.03473	366.42258	177.16135	8	0	4	0.17745891	0.1558336	0.75757575	-0.4149	14.124202	67.323769	30.502958	94.68457	3.185575	117.57918	0	52.929554	37.736813	71.895454	12.55039	76.934792	62.752514	1.5507339	8.4290028	0	90.666367	110.54152	139.08714	108.21	0.3512581	6.1699252	3.5908723	9.8234701	476.24527	610.72644	68.87339	0	0	0	323.76645	54.344357	68.87339	474.586	3086	59	178
