size sex
 1.88119 M
 1.35276 M
 1.56188 M
 0.84128 F
 1.74911 M
 1.55804 F
 1.70906 M
 0.91893 M
 0.94960 F
 0.93403 M
 2.48159 M
 0.97412 F
 0.40611 F
 1.11517 M
 0.44274 F
 1.80696 F
 2.05811 M
 2.22844 M
 0.64243 F
 1.03334 M
 0.65761 F
 1.47214 F
 1.59395 M
 0.97282 M
 1.10081 F
 1.09767 F
 1.15211 M
 0.98649 F
 0.72987 F
 1.64513 M
 1.57520 F
 0.40701 F
 1.15916 M
 1.47448 M
 1.13717 M
 1.05318 M
 1.11021 M
 0.41569 F
 0.94950 F
 1.94863 M
 0.34641 F
 1.19658 F
 0.82900 M
 1.52767 M
 1.46912 M
 1.40603 M
 1.07789 F
 1.00444 F
 1.15910 M
 1.48562 F
 2.40386 M
 1.42509 F
 0.68214 F
 1.44154 M
 1.63510 F
 1.65967 M
 1.29669 F
 1.66745 F
 1.59839 M
 1.70886 F
 0.24019 M
 1.04366 F
 1.64082 F
 1.52363 M
 0.95539 F
 1.43215 F
 1.17611 M
 0.17536 F
 1.78653 M
 2.04650 M
 0.93762 F
 0.71964 F
 0.88546 M
 0.46573 F
 1.61312 M
 1.36079 M
 1.38411 M
 1.02839 M
 0.78576 F
 1.48525 F
 0.66497 F
 1.09839 F
 1.43647 M
 1.37799 M
 0.67264 F
 0.98598 F
 1.56160 M
 1.48049 M
 0.47910 F
 0.88023 M
 1.29924 M
 2.12982 M
 0.85999 F
 1.78526 M
 1.66353 F
 1.64186 F
 0.18148 F
 1.56038 M
 1.10424 F
 1.01951 F
 1.28657 F
 1.70593 F
 0.60177 F
 1.10088 M
 1.71060 F
 1.49393 M
 0.52048 F
 0.14554 F
 0.94431 F
 0.55930 F
 1.61391 M
 1.93577 M
 1.05524 M
 1.35203 F
 1.32512 F
 0.66136 F
 1.33078 M
 1.25662 M
 1.46718 F
 2.16875 M
 1.52224 M
 0.98400 F
 1.83009 M
 1.16237 M
 0.75593 M
 0.58701 F
 0.89871 F
 0.84564 F
 0.82298 M
 0.74519 M
 1.46770 M
 1.11018 M
 1.88540 F
 1.62981 M
 1.16298 M
 1.82970 M
 0.79896 F
 0.71253 F
 0.39750 F
 0.50679 F
 1.75163 M
 1.03701 F
 1.85981 M
 0.69975 M
 1.25511 M
 0.71598 F
 1.92534 M
 0.65978 F
 0.63584 F
 0.45544 F
 0.67676 F
 0.37087 F
 1.52492 M
 1.20961 M
 2.20551 M
 1.93634 M
 2.27679 M
 1.11339 M
 0.60202 F
 1.26730 M
 1.33481 F
 1.36132 F
 1.84474 M
 2.13612 M
 0.86193 F
 1.55285 M
 0.92652 F
 0.50074 F
 0.40591 F
 2.06270 M
 0.39894 F
 1.35509 M
 1.51948 F
 0.18099 F
 1.86610 M
 1.84048 M
 0.93430 M
 1.28151 M
 0.87719 F
 1.43486 M
 1.56679 F
 0.97728 F
 1.48464 M
 0.85734 F
 1.21151 F
 0.79314 F
 1.62828 M
 1.38867 M
 0.52757 F
 1.60177 M
 0.99413 F
 1.71570 M
 1.51274 F
 1.37749 F
 2.31318 M
 0.71086 M
 0.82681 M
 1.75989 M
 1.23916 F

