CT   1.9080     0.1094
C    1.9080     0.0860
CA   1.9080     0.0860
CM   1.9080     0.0860
CC   1.9080     0.0860
CV   1.9080     0.0860
CW   1.9080     0.0860
CR   1.9080     0.0860
CB   1.9080     0.0860
C*   1.9080     0.0860
CN   1.9080     0.0860
CK   1.9080     0.0860
CQ   1.9080     0.0860
N    1.8240     0.1700
NA   1.8240     0.1700
NB   1.8240     0.1700
NC   1.8240     0.1700
N*   1.8240     0.1700
N2   1.8240     0.1700
N3   1.8750     0.1700
OW   1.7683     0.1520
OH   1.7210     0.2104
OS   1.6837     0.1700
O    1.6612     0.2100
O2   1.6612     0.2100
O3   1.6612     0.2100
S    2.0000     0.2500
SH   2.0000     0.2500
P    2.1000     0.2000
H    0.6000     0.0157
HW   0.0001     0.0000
HO   0.0001     0.0000
HS   0.6000     0.0157
HA   1.4590     0.0150
HC   1.4870     0.0157
H1   1.3870     0.0157
H2   1.2870     0.0157
H3   1.1870     0.0157
HP   1.1000     0.0157
H4   1.4090     0.0150
H5   1.3590     0.0150
Li   1.1370     0.0183
IP   1.8680     0.00277				# Na+ Aqvist JPC 1990,94,8021. (adapted)
Na   1.8680     0.00277
K    2.6580     0.000328
Rb   2.9560     0.00017
Cs   3.3950     0.0000806
MG   0.7926     0.8947
C0   1.7131     0.459789
Zn   1.1000     0.0125
F    1.7500     0.061				# Gough et al. JCC 13,(1992),963.
Cl   2.4700     0.1000
Br   2.2200     0.320				# Junmei(?)
I    2.3500     0.40				# JCC,7,(1986),230;
