size sex
2.0820 F
1.7003 F
2.1834 F
2.5837 M
2.8893 M
1.7989 F
1.7060 F
1.9107 F
2.0651 F
1.6811 F
2.4908 M
2.7533 M
2.4058 M
1.6897 F
1.8686 F
1.9084 F
1.9305 F
2.4503 F
2.5500 M
1.9330 F
2.4202 M
2.3794 M
2.7793 M
2.4877 M
2.0527 F
2.3576 M
2.6782 M
2.7106 M
1.6891 F
1.9160 F
2.3846 M
1.8749 F
2.1912 M
2.0143 F
2.1508 M
1.8410 F
2.7297 M
2.6749 M
2.0078 F
2.3829 M
2.7243 M
2.9595 M
2.1701 M
2.3117 M
2.0371 M
2.4008 M
2.5825 M
2.5657 M
2.7952 M
2.1649 F
1.8088 F
2.3119 M
2.3219 F
2.0204 F
1.8681 F
2.3703 F
1.9751 F
2.2614 F
2.5528 M
1.7079 F
1.9797 F
2.7497 M
2.2378 F
2.6450 M
2.5244 M
1.9922 F
1.9789 F
2.6534 M
2.5691 M
2.4336 F
1.9016 F
2.9377 M
1.5157 F
2.1458 F
2.0916 F
2.1684 F
2.5364 M
2.0533 F
2.7208 M
1.9133 F
1.9446 F
2.1704 F
1.9128 F
2.4519 M
2.2545 F
1.8564 F
2.3815 M
1.9268 F
2.6507 M
2.1933 F
2.4554 M
1.9937 F
1.8835 F
2.8260 M
2.1646 F
2.5767 M
2.7368 M
2.6137 M
2.4311 M
2.9362 M
2.1595 F
2.4668 M
1.9127 F
1.9965 F
3.0130 M
2.3764 M
2.4499 M
1.6176 F
2.1643 F
2.7082 M
2.7620 M
2.4320 M
2.4851 M
1.6541 F
2.6885 M
1.7189 F
2.1513 M
2.4392 M
2.5641 M
1.8705 F
1.9469 F
2.8410 M
2.2638 F
2.5394 M
2.1172 F
2.3265 M
1.6909 F
2.2550 M
2.0742 F
2.4336 M
2.1979 M
2.0136 F
2.4208 M
2.4791 M
2.7184 M
1.8265 F
1.6189 F
2.6688 M
1.9224 F
2.0576 F
2.0933 F
2.5906 M
2.5893 M
2.8825 M
1.9972 F
2.6838 M
1.8049 F
2.5203 M
1.7528 F
3.0389 M
2.3370 M
2.4361 F
2.0001 F
2.3395 M
2.0148 F
1.5301 F
2.5806 M
2.4183 M
2.0441 F
2.0189 F
2.8120 M
1.7245 F
2.2967 M
2.1405 F
2.1181 F
2.4306 M
1.8858 F
1.9673 F
2.7226 M
2.5563 M
1.7135 F
1.9883 F
1.7522 F
2.5220 M
2.0575 F
2.1598 F
1.9766 F
1.4877 F
1.9152 F
2.6920 M
2.3598 M
2.5465 M
1.8626 F
1.9166 F
2.3306 M
2.5387 M
2.4536 M
2.3038 M
2.0569 F
2.4425 M
2.4657 M
2.0730 F
2.1201 M
1.8391 F
1.6882 F
2.1578 F
2.3097 M
2.3848 M
2.4751 M
2.6548 M

